10,0.0055ms,1.546ms
10,0.0073ms,0.1054ms
10,0.007ms,0.1225ms
10,0.007ms,0.2597ms
10,0.0071ms,0.0837ms
10,0.0055ms,1.3634ms
10,0.0073ms,0.1174ms
10,0.008ms,0.1272ms
10,0.0071ms,0.0799ms
10,0.0068ms,0.0968ms
100,2.0921ms,2.1251ms
100,3.0649ms,0.9195ms
100,3.0653ms,1.1355ms
100,3.0983ms,0.9359ms
100,3.0216ms,0.9106ms
100,2.0745ms,1.9212ms
100,3.0847ms,0.9355ms
100,3.0711ms,0.906ms
100,3.1469ms,8.4775ms
100,3.0488ms,0.891ms
1000,1857.37ms,268.856ms
1000,1863.28ms,264.784ms
1000,1876.39ms,241.941ms
1000,1862.65ms,249.838ms
1000,1871.02ms,271.135ms
1000,1854.32ms,250.025ms
1000,1849.19ms,249.079ms
1000,1859.47ms,256.25ms
1000,1863.57ms,241.263ms
1000,1852.55ms,251.871ms
2500,28658.5ms,3531.04ms
2500,28650ms,3637.69ms
2500,28729.2ms,3637.71ms
2500,28732.5ms,3547.1ms
2500,28757.5ms,3608.72ms
2500,28728.6ms,3654.17ms
2500,28723ms,3667.32ms
2500,28983.5ms,3632.52ms
2500,28695.6ms,3527.71ms
2500,28776.2ms,3604.88ms
10,0.0057ms,7.3255ms
10,0.0073ms,5.4275ms
10,0.0072ms,3.7157ms
10,0.007ms,0.0793ms
10,0.0069ms,3.0109ms
10,0.0056ms,1.4617ms
10,0.0077ms,0.0995ms
10,0.0071ms,0.0985ms
10,0.0081ms,0.0897ms
10,0.007ms,0.1175ms
11,0.0067ms,1.3223ms
11,0.0099ms,0.1367ms
11,0.0096ms,0.1427ms
11,0.0088ms,0.0828ms
11,0.0088ms,0.0896ms
11,0.0069ms,2.5282ms
11,0.0089ms,0.1152ms
11,0.0098ms,0.9535ms
11,0.0088ms,0.1127ms
11,0.0088ms,0.0878ms
12,0.008ms,1.5065ms
12,0.0109ms,0.1351ms
12,0.0107ms,0.1276ms
12,0.0107ms,0.1537ms
12,0.0106ms,0.0895ms
12,0.0082ms,1.4997ms
12,0.0108ms,0.1072ms
12,0.0106ms,0.0938ms
12,0.0108ms,0.0938ms
12,0.0103ms,0.1216ms
13,0.0098ms,1.4077ms
13,0.013ms,0.0979ms
13,0.0137ms,0.1051ms
13,0.0125ms,0.1533ms
13,0.0128ms,0.1899ms
13,0.0097ms,1.281ms
